num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:9f:fb:80,24:36:da:9f:fb:82,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
1,Lab. Informática 09,,,,,,,,,,,-88,-88,,,,,,,-66,-66,,,,,,,,,,,-85,-86,,,,,,,,,-86,-85,,,,,-83,-82,-85,-87
2,Lab. Informática 09,,,,,,,,,,,-85,-85,,,,,,,-61,-60,,,,,,,,,,,-85,-85,,,,,,-89,,,-83,-83,,,,,,,,
3,Lab. Informática 09,,,,,,,,,,,,,,,,,,,-61,-60,,,,,,,,,,,-87,-88,,,,,,,,,-86,-86,,,,,-86,-86,-88,-90
4,Lab. Informática 09,,,,,,,,,,,,,,,,,,,-63,-62,,,,,,,,,,,-85,-84,,,,,,,,,-84,-84,,,,,-83,-83,-87,-89
5,Lab. Informática 09,,,,,,,,,,,-84,-85,,,,,,,-62,-61,,,,,,,,,,,-86,-87,,,,,,,,,-87,-88,,,,,-90,,,
6,Lab. Informática 09,,,,,,,,,,,-84,-85,,,,,,,-63,-63,,,,,,,,,,,-86,-85,,,,,,,,,-82,-83,,,,,-86,-86,-86,-85
7,Lab. Informática 09,,,,,,,,,,,-84,-85,,,,,,,-61,-61,,,,,,,,,,,,-89,,,,,,,,,-84,-84,,,,,-88,-86,-85,-85
8,Lab. Informática 09,,,,,,,,,,,-85,-83,,,,,,,-65,-65,,,,,,,,,,,,-87,,,,,,,,,-87,-85,,,,,-85,-85,-83,-82
9,Lab. Informática 09,,,,,,,,,,,-82,-82,,,,,,,-64,-64,,,,,,,,,,,,-88,,,,,,,,,-83,-85,,,,,-86,-86,-81,-82
10,Lab. Informática 09,,,,,,,,,,,-85,-85,,,,,,,-66,-66,,,,,,,,,,,-88,-87,,,,,,,,,,-87,,,,,,,-84,-83
11,Sala dos técnicos,,,,,,,,,,,,,,,,,,,-78,-78,,,,,,,,,,,-84,-84,,,,,-89,-91,,,-78,-78,,,,,,,-88,-88
12,Sala dos técnicos,,,,,,,,,,,,,,,,,-87,,-80,-78,,,,,,,,,-88,-87,-84,-85,,,,,-88,-88,,,-77,-77,,,,,,,,
13,Sala dos técnicos,,,,,,,,,,,,-88,,,,,,,-73,-72,,,,,,,,,,,-86,-87,,,,,-91,-91,,,-77,-77,,,,,,,-88,-88
14,Sala dos técnicos,,,,,,,,,,,-87,,,,,,,,-81,-81,,,,,,,,,,,-89,-87,,,,,,,,,-81,-80,,,,,-87,-86,,
15,Sala dos técnicos,,,,,,,,,,,-86,-85,,,,,,,-73,-73,,,,,,,,,,,-80,-80,,,,,,,,,-79,-78,,,,,,,-87,-88
16,Sala dos técnicos,,,,,,,,,,,-86,-86,,,,,,,-75,-74,,,,,,,,,,,-78,-78,,,,,,,,,-87,-86,,,,,,,,-92
17,Sala dos técnicos,,,,,,,,,,,-85,-84,,,,,,,-78,-78,,,,,,,,,,,-88,-86,,,,,,,,,-82,-82,,,,,,,-87,-88
18,Sala dos técnicos,,,,,,,,,,,-89,-88,,,,,,,-75,-74,,,,,,,,,-89,-87,-82,-84,,,,,-89,-89,,,-82,-82,,,,,,,,
19,Sala dos técnicos,,,,,,,,,,,,,,,,,,,-76,-77,,,,,,,,,-88,-87,-88,-88,,,,,,,,,-83,-83,,,,,,,-90,-89
20,Sala dos técnicos,,,,,,,,,,,-86,-88,,,,,,,-78,-78,,,,,,,,,,,-80,-80,,,,,,,,,-77,-77,,,,,-89,-86,,
21,Lab. de telecomunicações,,,,,,,,,,,,,,,,,-84,-83,-80,-79,,,,,,,,,-91,-90,-82,-84,,,,,,,,,-76,-76,,,,,-89,-89,-90,-89
22,Lab. de telecomunicações,,,,,,,,,,,,,,,,,-84,-84,-77,-77,,,,,,,,,,,-83,-85,,,,,,,,,-75,-76,,,,,-89,-89,,
23,Lab. de telecomunicações,,,,,,,,,,,-89,,,,,,-90,-87,-79,-79,,,,,,,,,,,-86,-87,,,,,,,,,-78,-79,,,,,,,-89,-90
24,Lab. de telecomunicações,,,,,,,,,,,-84,-83,,,,,-81,-81,-76,-78,,,,,,,,,,,-85,-85,,,,,,,,,-73,-73,,,,,,,-89,-88
25,Lab. de telecomunicações,,,,,,,,,,,-88,-89,,,,,-87,-87,-75,-75,,,,,,,,,,,-87,-85,,,,,,,,,-77,-78,,,,,-90,-88,,-90
26,Lab. de telecomunicações,,,,,,,,,,,-86,-86,,,,,-83,-83,-81,-80,,,,,,,,,-91,-90,-86,-88,,,,,,,,,-79,-77,,,,,,,-88,
27,Lab. de telecomunicações,,,,,,,,,,,,,,,,,,,-78,-78,,,,,,,,,,,-86,-88,,,,,,,,,-74,-74,,,,,,,,
28,Lab. de telecomunicações,,,,,,,,,,,,,,,,,-88,-86,-75,-75,,,,,,,,,,,,,,,,,,,,,-74,-75,,,,,,,,
29,Lab. de telecomunicações,,,,,,,,,,,-87,-89,,,,,-87,-86,-84,-84,,,,,,,,,,,,-89,,,,,,,,,-73,-74,,,,,,,-90,-89
30,Lab. de telecomunicações,,,,,,,,,,,-87,-86,,,,,-85,-85,-76,-76,,,,,,,,,-87,-88,-85,-86,,,,,,,,,-75,-74,,,,,,,,
31,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,-91,-89,-89,,,,,,,,,-84,-84,,,,,,,-86,-86,,,-82,-81,,,,,,,,
32,PET Eng. Elétrica,,,,,,,,,,,,,,,,,-88,-88,-89,-88,,,,,,,,,-84,-84,,-88,,,,,-85,-85,,,-80,-80,,,,,,,,
33,PET Eng. Elétrica,,,,,,,,,,,,,,,,,-87,-87,-88,-89,,,,,,,,,-80,-80,,,,,,,-90,-91,,,-78,-78,,,,,,,,
34,PET Eng. Elétrica,,,,,,,,,,,,,,,,,-88,,-87,-88,,,,,,,,,-83,-82,-88,-89,,,-89,-88,-89,-89,,,-78,-79,,,,,,,,
35,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,,-85,-85,,,,,,,,,-81,-81,,,,,,,-86,-87,,,-75,-75,,,,,,,,
36,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,,-89,-89,,,,,,,,,-82,-83,,,,,,,-91,-90,,,-76,-77,,,,,,,,
37,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,-87,,,,,-92,,-86,-86,,,-78,-79,,,,,,,,
38,PET Eng. Elétrica,,,,,,,,,,,,,,,,,-88,-89,,,,,,,,,,,-85,-83,,,,,,,-86,-85,,,-78,-80,,,,,,,,
39,PET Eng. Elétrica,,,,,,,,,,,,,,,,,-88,-87,-85,-84,,,,,,,,,-79,-80,,,,,,,,-91,,,-75,-76,,,,,,,,
40,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,-84,-83,,,,,,,-89,-87,,,-79,-79,,,,,,,,
41,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-70,,,,,,,-89,-90,,,,,,,-83,-83,,,,
42,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-71,,,,,,,-90,-90,,,,-91,,,-80,-80,,,,
43,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,-59,,,,,,,-90,-90,,,-87,-89,,,-82,-81,,,,
44,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-72,,,,,,,-88,-89,,,,-88,,,-84,-84,,,,
45,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,-63,,,,,,,-89,-86,,,-86,-84,,,-80,-80,,,,
46,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,-55,,,,,,,-89,-91,,,-83,-84,,,-79,-79,,,,
47,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61,-61,,,,,-91,-89,-88,-87,,,,,,,-86,-87,,,,
48,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,-67,,,,,,,-88,-89,,,,,,,-83,-81,,,,
49,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,,,,,,,,,,,-88,-88,,,,,,,,
50,Coordenação de Eng. Elétrica,,,,,,,,,,,-89,-90,,,,,,,,,,,,,,,,,-65,-64,,,,,,,-90,-90,,,-87,-89,,,,,,,,
51,Auditório de Eng. Elétrica,,,,,,,,,,,,,,,-78,-79,,,,,,,,,,,-84,-83,,,-84,-84,,,,,-77,-77,,,,,,,,,,,,
52,Auditório de Eng. Elétrica,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,-77,-76,,,-84,-84,,,,,-80,-80,,,,,,,,,,,-90,-91
53,Auditório de Eng. Elétrica,-87,-88,,,,,,,,,,,,,-76,-77,,,,,,,,,,,-87,-87,,,-88,-88,,,-90,-91,-76,-75,,,,,,,,,,,,
