num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
1,Lab. de medidas em telecomunicações,,,-79,-79,,,,,,,-86,-85,,,,,,,,,,,-88,-89,,,-70,-70,,,,-86,,,,,,,,,,,-73,-73
2,Lab. de medidas em telecomunicações,,,-80,-80,,,,,,,,,,,,,,,,,,,-91,-91,,,-71,-71,,,,-89,,,,,,,,,,,-74,-74
3,Lab. de medidas em telecomunicações,,,-77,-77,,,,,,,,,,,,,,,,,,,-91,-90,,,-72,-72,,,,,,,,,,,,,,,-75,-75
4,Lab. de medidas em telecomunicações,,,-77,-77,,,,,,,,,,,,,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,-80,-80
5,Lab. de medidas em telecomunicações,,,-79,-78,,,,,,,-90,-89,,,,,,,,,,,,,,,-76,-76,,,,,,,,,,,,,,,-76,-76
6,Lab. de aferição e calibração,,,-75,-75,,,,,,,-79,-79,,,,,,,,,,,-88,-87,,,-56,-57,,,-88,-89,,,,,,,,,,,-80,-80
7,Lab. de aferição e calibração,,,-73,-73,,,,,,,-77,-77,,,,,,,,,,,-85,-87,,,-58,-58,,,-86,-87,,,,,,,,,,,-82,-83
8,Lab. de aferição e calibração,,,-71,-70,,,,,,,-79,-79,,,,,,,,,,,-86,-85,,,-57,-57,,,-84,-85,,,,,,,,,,,-80,-80
9,Lab. de aferição e calibração,,,-71,-72,,,,,,,-80,-80,,,,,,,,,,,-86,-87,,,-58,-59,,,-87,-87,,,,,,,,,,,-83,-82
10,Lab. de aferição e calibração,,,-79,-78,,,,,,,-90,-90,,,,,,,,,,,,,,,-59,-59,,,,,,,,,,,,,,,-82,-83
11,Lab. de Instrumentação biomédica,-90,-88,-89,-89,,,,,,,-86,-86,,,,,,,,,,,-85,-84,,,-77,-77,,,-88,-88,,,,,,,,,,,-81,-82
12,Lab. de Instrumentação biomédica,-89,-89,-83,-82,,,,,,,-87,-86,,,,,,,,,,,-85,-84,,,-76,-76,,,-86,-85,,,,,,,,,,,-81,-81
13,Lab. de Instrumentação biomédica,-90,-90,-85,-84,,,,,,,-88,-88,,,,,,,,,,,-84,-85,,,-76,-75,,,-87,-87,,,,,,,,,,,-81,-81
14,Lab. de Instrumentação biomédica,-90,-90,-83,-84,,,,,,,-87,-87,,,,,,,,,,,-86,-85,,,-77,-78,,,-85,-86,,,,,,,,,,,-82,-82
15,Lab. de Instrumentação biomédica,-89,-90,-82,-82,,,,,,,-86,-85,,,,,,,,,,,-84,-83,,,-75,-75,,,-88,-88,,,,,,,,,,,-82,-82
16,Auditório de Eng. Elétrica,-88,-89,,-87,,,,,,,-86,-86,,,,,,,,,,,-75,-75,,,-81,-81,,,-75,-74,,,,,,,,,,,-89,-88
17,Auditório de Eng. Elétrica,-90,,,-88,,,,,,,-89,-89,,,,,,,,,,,-75,-75,,,-83,-83,,-92,-74,-74,,,,,,,,,,,-89,-89
18,Auditório de Eng. Elétrica,-89,-88,,-86,,,,,,,-85,-84,,,,,,,,,,,-73,-73,,,-83,-83,,,-72,-72,,,,,,,,,,,-88,-88
19,Auditório de Eng. Elétrica,-89,-89,-87,-87,,,,,,,-82,-83,,,,,,,,,,,-74,-74,,,-84,-83,,,-72,-73,,,,,,,,,,,-89,-89
20,Auditório de Eng. Elétrica,-90,-90,-87,-87,,,,,,,-81,-82,,,,,,,,,,,-75,-75,,,-84,-83,,,-73,-73,,,,,,,,,,,-88,-89
21,Coordenação de pós em Eng. Elétrica,,,-80,-81,,,,,,,,,,,,,,,,,,,,,,,,,-87,-88,,,,,,,,,,,,,-79,-79
22,Coordenação de pós em Eng. Elétrica,,,-79,-79,,,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,,,,-86,-86
23,Coordenação de pós em Eng. Elétrica,,,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,-90,-88,,,,,,,,,,,,,-85,-84
24,Coordenação de pós em Eng. Elétrica,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,-81
25,Coordenação de pós em Eng. Elétrica,,,-84,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,-79
26,Lab. de redes convergentes,,,-87,-87,,,,,,,,,,,,,,,,,,,,,,,-87,-87,-88,-87,,,,,,,,,,,,,-62,-62
27,Lab. de redes convergentes,,,-80,-80,,,,,,,,,,,,,,,,,,,,,,,-86,-88,-89,-88,,,,,,,,,,,,,-62,-62
28,Lab. de redes convergentes,,,-80,-79,,,,,,,,,,,,,,,,,,,,,,,-90,-89,-88,-86,,,,,,,,,,,,,-62,-62
29,Lab. de redes convergentes,,,-80,-79,,,,,,,,,,,,,,,,,,,,,,,-88,-89,-89,-89,,,,,,,,,,,,,-63,-63
30,Lab. de redes convergentes,,,-79,-79,,,,,,,,,,,,,,,,,,,,,,,-88,-87,-89,-90,,,,,,,,,,,,,-63,-63
31,Lab. de fibras ópticas,,,-81,-81,,,,,,,,,,,,,,,,,,,-86,-85,,,-80,-79,,-87,,,,,,,,,,,,,-65,-65
32,Lab. de fibras ópticas,,,-81,-81,,,,,,,,,,,,,,,,,,,-87,-88,,,-84,-84,,,,,,,,,,,,,,,-65,-65
33,Lab. de fibras ópticas,,,-81,-81,,,,,,,,,,,,,,,,,,,-89,-88,,,-83,-83,-90,-88,,,,,,,,,,,,,-66,-66
34,Lab. de fibras ópticas,,,-85,-85,,,,,,,,,,,,,,,,,,,,,,,-82,-83,,,,,,,,,,,,,,,-65,-65
35,Lab. de fibras ópticas,,,-85,-86,,,,,,,,,,,,,,,,,,,,,,,-90,-89,-89,-88,,,,,,,,,,,,,-70,-70
36,Pesquisa em Eng. Elétrica,,,-89,,,,,,,,,,,,,,,,,,,,-90,-89,,,,,-90,-90,,,,,,,,,,,,,-78,-78
37,Pesquisa em Eng. Elétrica,,,-87,-87,,,,,,,,,,,,,,,,,,,-87,-87,,,-89,,-85,-86,,,,,,,,,,,,,-80,-80
38,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,-87,-87,,,,-91,-88,-86,,,,,,,,,,,,,-78,-78
39,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,-86,-87,,,,-90,-87,-87,,,,,,,,,,,,,-79,-79
40,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,-88,-88,,,,,-88,-87,,,,,,,,,,,,,-84,-84
41,Práticas didáticas,,,,,,,,,,,,,,,,,,,,,,,-81,-82,,,,,-82,-82,-83,-83,,,,,,,,,,,-87,-87
42,Práticas didáticas,,,,,,,,,,,,,,,,,,,,,,,-82,-81,,,,,-82,-82,-83,-84,,,,,,,,,,,-87,-86
43,Práticas didáticas,,,,,,,,,,,,,,,,,,,,,,,-80,-81,,,,,-80,-80,-77,-77,,,,,,,,,,,-85,-86
44,Práticas didáticas,,,,,,,,,,,,,,,,,,,,,,,-83,-82,,,,,-79,-78,-80,-80,,,,,,,,,,,-85,-85
45,Práticas didáticas,,,,,,,,,,,,,,,,,,,,,,,-82,-82,,,,,-79,-78,-80,-80,,,,,,,,,,,-85,-87
46,Sala dos professores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-64,,,,,,,,
47,Sala dos professores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-64,,,,,,,,
48,Sala dos professores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,-64,,,,,,,,
49,Sala dos professores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-64,,,,,,,,
50,Sala dos professores,,,,,,,,,,,,,,,,,,,,,,,,,-90,-91,,,,,,,,,-63,-63,,,,,,,,
51,Lab. Informática 09,,,,,,,,,,,,,,,-62,-62,,,,,,,,,-90,-90,-88,-89,,,,,,,-89,-89,,,,,,,-93,
52,Lab. Informática 09,,,,,,,,,,,,,,,-63,-63,,,,,,,,,,,-88,-90,,,,,,,-86,-87,,,,,-82,-82,,
53,Lab. Informática 09,,,,,,,,,,,,,-90,-91,-64,-64,,,,,,,,,,,-90,-91,,,,,,,-84,-85,,,,,-90,-88,-89,-89
54,Lab. Informática 09,,,,,,,,,,,,,,,-63,-63,,,,,,,,,,,-88,-90,,,,,,,-86,-86,,,,,-85,-84,-89,-91
55,Lab. Informática 09,,,,,,,,,,,,,,,-63,-63,,,,,,,,,,,,,,,,,,,-87,-86,,,,,-87,-86,-91,-88
56,Sala dos técnicos,,,,,,,,,,,,,,,-73,-73,,,,,,,,,,-91,-76,-76,,,-88,-87,,,-84,-85,,,,,,,-88,-89
57,Sala dos técnicos,,,,,,,,,,,,,,,-74,-74,,,,,,,,,,,-84,-84,,,-87,-87,,,-83,-83,,,,,,,-86,-86
58,Sala dos técnicos,,,,,,,,,,,,,,,-73,-73,,,,,,,,,,,-81,-81,,,-89,-87,,,-83,-83,,,,,,,-88,-89
59,Sala dos técnicos,,,,,,,,,,,,,,,-74,-73,,,,,,,,,-88,-88,-84,-83,,,,-88,,,-81,-82,,,,,,,-89,-89
60,Sala dos técnicos,,,,,,,,,,,,,,,-74,-74,,,,,,,,,-90,-91,-84,-85,,,-86,-86,,,-83,-84,,,,,,,,
61,Lab. de telecomunicações,,,,,,,,,,,,,,-89,-77,-76,,,,,,,,,-89,-88,,,,,,,,,-77,-77,,,,,-88,,,
62,Lab. de telecomunicações,,,,,,,,,,,,,-89,-88,-75,-77,,,,,,,,,-89,-87,-86,-87,,,,,,,-81,-81,,,,,,,-88,-88
63,Lab. de telecomunicações,,,,,,,,,,,,,,,-77,-76,,,,,,,,,-89,-89,-87,-87,,,,,,,-81,-81,,,,,,,-89,-90
64,Lab. de telecomunicações,,,,,,,,,,,,,,,-74,-75,,,,,,,,,-88,-89,-88,-87,,,,,,,-76,-76,,,,,,,-89,-90
65,Lab. de telecomunicações,,,,,,,,,,,,,,,-74,-73,,,,,,,,,-90,-90,-87,-88,,,,,,,-77,-77,,,,,,,,
66,PET Eng. Elétrica,,,,,,,,,,,,,,,-90,-90,,,,,,,,,-87,-86,,,,,-89,-87,,,-77,-78,,,,,,,,
67,PET Eng. Elétrica,,,,,,,,,,,,,-91,-89,-85,-85,,,,,,,,,-81,-81,-88,-90,,,,,,,,,,,,,,,-90,-89
68,PET Eng. Elétrica,,,,,,,,,,,,,,-90,-84,-84,,,,,,,,,-81,-79,-88,-89,,,,,,,-76,-76,,,,,,,-88,-88
69,PET Eng. Elétrica,,,,,,,,,,,,,,,-85,-84,,,,,,,,,-82,-82,-90,-89,,,-87,-86,,,-78,-78,,,,,,,-88,-89
70,PET Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-84,-84,,-87,,,-87,-89,,,-77,-77,,,,,,,-89,-88
71,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-61,-61,,,,,-86,-86,,,,-85,,,-85,-87,,,,
72,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-61,-61,,,,,,,,,,-87,,,-85,-85,,,,
73,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-61,-61,,,,,-87,-87,,,,,,,-83,-83,,,,
74,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-60,-60,,,,,-88,-87,,,,,,,-84,-85,,,,
75,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,-59,-58,,,,,-87,-88,,,-87,-87,,,-89,-88,,,,
76,Lab. química 03,,,-76,-78,-89,-90,,,,,-80,-79,,,,,-88,-86,,,-82,-83,,,,,,,,,,,,,,,-84,-84,,,,,,
77,Lab. química 03,,,-82,-83,,,,,,,-83,-84,,,,,-88,-88,,,-89,-88,,,,,,,,,,,,,,,-85,-85,,,,,,
78,Lab. química 03,,,-81,-82,,-89,,,,,-85,-84,,,,,-87,-88,,,-87,-91,,,,,,,,,,,,,,,-86,-87,,,,,,
79,Lab. química 03,,,-80,-79,-87,-87,,,,,-87,-86,,,,,-89,-88,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,
80,Lab. química 03,,,-79,-79,-86,-86,,,,,-86,-85,,,,,,,,,-88,-86,,,,,,,,,,,,,,,,,,,,,,
81,Lab. química 02,,,-82,-82,,,,,,,-60,-60,,,,,-88,-90,,,-92,-91,-90,-88,,,,,,,,,,,,,,,,,,,,
82,Lab. química 02,,,-80,-81,,,-86,-86,,,-61,-62,,,,,-89,-87,,,,,-87,-88,,,,,,,,,,,,,,,,,,,,
83,Lab. química 02,,,-79,-79,,,,,,,-64,-65,,,,,-87,-90,,,,-91,-90,-89,,,,,,,,,,,,,,,,,,,,
84,Lab. química 02,,,-81,-80,,,,,,,-63,-63,,,,,-89,-86,,,-91,-89,-87,-88,,,,,,,,,,,,,,,,,,,,
85,Lab. química 02,,,-81,-80,,,,-89,,,-70,-70,,,,,,,,,-89,-88,-89,-90,,,,,,,,,,,,,,,,,,,,
86,Lab. química 01,,,-81,-81,,,-89,-90,,,-56,-55,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,
87,Lab. química 01,,,-82,-83,,,,,,,-55,-55,,,,,,,,,,,-88,-87,,,,,,,,,,,,,,,,,,,,
88,Lab. química 01,,,-82,-82,,,-88,-89,,,-55,-55,,,,,,,,,,,-89,-90,,,,,,,,,,,,,,,,,,,,
89,Lab. química 01,,,-84,-84,-92,-90,-88,-89,,,-56,-56,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,
90,Lab. química 01,,,-84,-84,,,-88,-89,,,-53,-53,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,
91,Lab. de microscopia,,,,,,,,,,,-84,-84,,,,,,,-83,-83,,,-80,-80,,,,,,,,,,,,,,,,,,,,
92,Lab. de microscopia,,,,,,,,,,,-84,-84,,,,,,,-80,-81,,,-81,-80,,,,,,,,,,,,,,,,,,,,
93,Lab. de microscopia,,,,,,,,,,,-83,-82,,,,,,,-84,-83,,,-78,-78,,,,,,,,,,,,,,,,,,,,
94,Lab. de microscopia,,,,,,,,,,,-85,-82,,,,,,,-81,-81,,,-79,-79,,,,,,,,,,,,,,,,,,,,
95,Lab. de microscopia,,,,,,,,,,,-86,-85,,,,,,,-84,-85,,,-78,-78,,,,,,,,,,,,,,,,,,,,
96,Lab. de matemática,,,,,,,,,,,-80,-82,,,,,,,-86,-87,,,-80,-80,,,,,,,-87,-87,,,,,,,,,,,,
97,Lab. de matemática,,,,,,,,,-89,-88,-82,-81,,,,,,,-82,-83,,,-78,-79,,,,,,,,,,,,,,,,,,,,
98,Lab. de matemática,,,,,,,,,,,-86,-85,,,,,,,-86,-86,,,-80,-80,,,,,,,-88,-90,,,,,,,,,,,,
99,Lab. de matemática,,,,,,,,,,,-81,-80,,,,,,,-85,-87,,,-78,-79,,,,,,,-89,,,,,,,,,,,,,
100,Lab. de matemática,,,,,,,,,,,-80,-81,,,,,,,-85,-85,,,-79,-79,,,,,,,-87,-87,,,,,,,,,,,,
101,Lab. de biologia,,,-70,-71,,,,,,,-72,-72,,,,,,,,,-88,-89,-82,-82,,,,,,,,,,,,,,,,,,,,
102,Lab. de biologia,,,-69,-68,,,,,,,-75,-75,,,,,,,,,,-93,-82,-82,,,,,,,,,,,,,,,,,,,,
103,Lab. de biologia,,,-67,-67,,,,,,,-73,-72,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,
104,Lab. de biologia,,,-70,-70,,,,,,,-74,-74,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,-90,
105,Lab. de biologia,,,-68,-68,,,,,,,-73,-72,,,,,,,,,,,-82,-83,,,,,,,,,,,,,,,,,,,,
106,Lab. de física,,,-76,-76,,,-88,-87,,,-77,-77,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,
107,Lab. de física,,,-74,-73,,,,,,,-77,-76,,,,,,,,,,,-85,-84,,,,,,,,,,,,,,,,,,,,
108,Lab. de física,,,-71,-71,,,,,,,-72,-72,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,
109,Lab. de física,,,-69,-69,,,,,,,-73,-72,,,,,,,,,,,-85,-84,,,,,,,,,,,,,,,,,,,,
110,Lab. de física,,,-69,-69,,,-89,-89,,,-72,-72,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,
111,Núcleo de pesquisa,,,,,,,,,,,,,,,,,,,,,,,-66,-66,,,,,,,,,,-89,,,,,,,,,,
112,Núcleo de pesquisa,,,,,,,,,,,,,,,,,,,,,,,-66,-66,,,,,,,,,-89,-89,,,,,,,,,,
113,Núcleo de pesquisa,,,,,,,,,,,,,,,,,,,,,,,-68,-68,,,,,,,,,-89,-91,,,,,,,,,,
114,Núcleo de pesquisa,,,,,,,,,,,,,,,,,,,,,,,-68,-68,,,,,,,,,-89,-89,,,,,,,,,,
115,Núcleo de pesquisa,,,,,,,,,,,,,,,,,,,,,,,-65,-65,,,,,,,,,-88,-89,,,,,,,,,,
116,Coordenação de química,,,,,,,,,,,,,,,,,,,-91,,,,-79,-79,,,,,,,,,-80,-80,,,,,,,,,,
117,Coordenação de química,,,,,,,,,,,,,,,,,,,,,,,-82,-82,,,,,,,,,-82,-81,,,,,,,,,,
118,Coordenação de química,,,,,,,,,,,,,,,,,,,-89,-90,,-92,-80,-80,,,,,,,,,-82,-81,,,,,,,,,,
119,Coordenação de química,,,,,,,,,,,,,,,,,,,-90,-90,-91,-92,-81,-81,,,,,,,,,-83,-84,,,,,,,,,,
120,Coordenação de química,,,,,,,,,,,,,,,,,,,,,-88,-91,-79,-78,,,,,,,,,-83,-81,,,,,,,,,,
