num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,2c:57:41:d4:69:c2,4c:e1:75:db:58:80,4c:e1:75:db:58:82,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
1,Lab. Informática 09,,,,,-86,,,,,,,-57,-57,,,,,,-89,,,,,,,,,,,-85,-85
2,Lab. Informática 09,,,,,-92,,,,,,,-58,-58,,,,,,,,,,,,,,,-86,,-89,-87
3,Lab. Informática 09,,,,,,,,,,,,-57,-57,,,,,,,,,,,,,,,-83,,-90,-90
4,Lab. Informática 09,,,,,,,,,,,,-58,-58,,,,,,,,,,,,,,,-83,-84,,-88
5,Lab. Informática 09,,,,,,,,,,,,-59,-59,,,,,,,,,,,,,,,-84,,-88,-88
6,Sala dos técnicos,,,,,,,,,,,,-68,-70,,,,,-82,-83,,,,,-83,-83,,,,,-85,-85
7,Sala dos técnicos,,,,,,,,,,,,-68,-68,,,,,-81,-82,,,,,-84,-84,,,,,,
8,Sala dos técnicos,,,,,,,,,,,,-68,-68,,,,,-79,-79,,,,,-85,-85,,,,,,
9,Sala dos técnicos,,,,,,,,,,,,-71,-71,,,,,-81,-82,,,,,,,,,,,-88,-90
10,Sala dos técnicos,,,,,,,,,,,,-71,-71,,,,,-82,-82,,,,,-86,-86,,,,,-88,-88
11,Lab. de telecomunicações,,,,,,,,,,-89,-90,-73,-76,,,,,-88,-86,,,,,-79,-79,,,,-88,,
12,Lab. de telecomunicações,,,,,,,,,,-89,-89,-73,-73,,,,,-86,-87,,,,,-82,-82,,,,,,
13,Lab. de telecomunicações,,,,,,,,,,-89,-89,-71,-71,,,,,-85,-86,,,,,-84,-83,,,,-90,-89,-90
