n_estimators,max_depth,media_acuracia,desvio_padrao
150,10.0,0.9475,0.010240171439537087
150,15.0,0.945,0.00889756521002607
150,,0.945,0.010671873729054721
100,,0.9445833333333333,0.009232716585900145
100,10.0,0.9416666666666667,0.009501461875826131
100,15.0,0.9391666666666667,0.00837489635093405
50,15.0,0.9391666666666667,0.009537935951882973
50,,0.9383333333333332,0.014529663145135577
50,10.0,0.9379166666666666,0.013559283412727455
150,5.0,0.9375,0.012499999999999978
100,5.0,0.9358333333333334,0.014695993407123645
50,5.0,0.9125,0.02274557343992697
