Local,Roteador,Canal,Minimo,Maximo,Quantidade,NumRoteador
Auditório de Eng. Elétrica,24:36:da:2b:5e:c0,1,-89,-86,5,Roteador 01
Auditório de Eng. Elétrica,24:36:da:2b:5e:c2,1,-89,-86,6,Roteador 01
Auditório de Eng. Elétrica,84:f1:47:54:6b:80,1,-83,-73,10,Roteador 02
Auditório de Eng. Elétrica,84:f1:47:54:6b:82,1,-83,-73,10,Roteador 02
Auditório de Eng. Elétrica,84:f1:47:54:8b:a0,11,-87,-77,10,Roteador 03
Auditório de Eng. Elétrica,84:f1:47:54:8b:a2,11,-87,-76,10,Roteador 03
Auditório de Eng. Elétrica,84:f1:47:54:96:e0,1,-88,-82,9,Roteador 04
Auditório de Eng. Elétrica,84:f1:47:54:96:e2,1,-88,-83,10,Roteador 04
Auditório de Eng. Elétrica,84:f1:47:54:eb:20,6,-90,-88,3,Roteador 05
Auditório de Eng. Elétrica,84:f1:47:54:eb:22,6,-91,-88,3,Roteador 05
Auditório de Eng. Elétrica,84:f1:47:54:f9:80,11,-80,-71,10,Roteador 06
Auditório de Eng. Elétrica,84:f1:47:54:f9:82,11,-80,-71,10,Roteador 06
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:60,11,-92,-88,5,Roteador 07
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:62,11,-91,-88,5,Roteador 07
Coordenação de Eng. Elétrica,84:f1:47:54:eb:20,6,-91,-91,1,Roteador 05
Coordenação de Eng. Elétrica,84:f1:47:54:eb:22,6,-89,-89,1,Roteador 05
Coordenação de Eng. Elétrica,84:f1:47:54:f9:80,11,-90,-88,9,Roteador 06
Coordenação de Eng. Elétrica,84:f1:47:54:f9:82,11,-91,-86,9,Roteador 06
Coordenação de Eng. Elétrica,2c:57:41:d4:69:c0,6,-89,-89,1,Roteador 08
Coordenação de Eng. Elétrica,2c:57:41:d4:69:c2,6,-90,-90,1,Roteador 08
Coordenação de Eng. Elétrica,84:f1:47:54:95:e0,11,-72,-56,10,Roteador 09
Coordenação de Eng. Elétrica,84:f1:47:54:95:e2,11,-72,-55,10,Roteador 09
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c0,1,-88,-83,5,Roteador 10
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c2,1,-91,-84,7,Roteador 10
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:80,6,-86,-79,8,Roteador 11
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:82,6,-87,-79,8,Roteador 11
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:20,6,-86,-84,2,Roteador 05
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:22,6,-87,-85,2,Roteador 05
Coordenação de pós em Eng. Elétrica,e4:4e:2d:85:4c:60,11,-86,-74,10,Roteador 07
Coordenação de pós em Eng. Elétrica,e4:4e:2d:85:4c:62,11,-85,-74,10,Roteador 07
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:00,6,-89,-83,9,Roteador 12
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:02,6,-89,-83,9,Roteador 12
Coordenação de pós em Eng. Elétrica,24:36:da:9f:fb:80,11,-92,-91,2,Roteador 13
Coordenação de pós em Eng. Elétrica,24:36:da:9f:fb:82,11,-90,-88,2,Roteador 13
Coordenação de química,84:f1:47:54:6b:80,1,-89,-83,9,Roteador 02
Coordenação de química,84:f1:47:54:6b:82,1,-90,-83,9,Roteador 02
Coordenação de química,84:f1:47:54:8b:a0,11,-80,-75,10,Roteador 03
Coordenação de química,84:f1:47:54:8b:a2,11,-79,-75,10,Roteador 03
Coordenação de química,84:f1:47:54:eb:20,6,-89,-84,3,Roteador 05
Coordenação de química,84:f1:47:54:eb:22,6,-87,-87,2,Roteador 05
Coordenação de química,84:f1:47:54:fd:60,1,-80,-74,10,Roteador 10
Coordenação de química,84:f1:47:54:fd:62,1,-79,-74,10,Roteador 10
Coordenação de química,24:36:da:2b:bc:00,6,-89,-85,4,Roteador 12
Coordenação de química,24:36:da:2b:bc:02,6,-88,-84,4,Roteador 12
Coordenação de química,2c:57:41:d4:a5:20,6,-87,-81,10,Roteador 14
Coordenação de química,2c:57:41:d4:a5:22,6,-88,-81,10,Roteador 14
Coordenação de química,84:f1:47:54:81:00,11,-92,-88,4,Roteador 15
Coordenação de química,84:f1:47:54:81:02,11,-90,-87,4,Roteador 15
Lab. Informática 09,84:f1:47:54:96:e0,1,-88,-85,7,Roteador 04
Lab. Informática 09,84:f1:47:54:96:e2,1,-89,-84,10,Roteador 04
Lab. Informática 09,84:f1:47:54:f9:82,11,-89,-89,1,Roteador 06
Lab. Informática 09,e4:4e:2d:85:4c:60,11,-88,-81,8,Roteador 07
Lab. Informática 09,e4:4e:2d:85:4c:62,11,-90,-82,8,Roteador 07
Lab. Informática 09,2c:57:41:d4:69:c0,6,-88,-82,8,Roteador 08
Lab. Informática 09,2c:57:41:d4:69:c2,6,-88,-82,8,Roteador 08
Lab. Informática 09,84:f1:47:54:fd:c0,1,-87,-82,9,Roteador 10
Lab. Informática 09,84:f1:47:54:fd:c2,1,-88,-83,10,Roteador 10
Lab. Informática 09,84:f1:47:54:7f:20,11,-66,-61,10,Roteador 16
Lab. Informática 09,84:f1:47:54:7f:22,11,-66,-60,10,Roteador 16
Lab. Informática 09,b8:11:4b:1d:1e:40,6,-90,-83,8,Roteador 17
Lab. Informática 09,b8:11:4b:1d:1e:42,6,-86,-82,7,Roteador 17
Lab. de Instrumentação biomédica,84:f1:47:54:6b:80,1,-79,-74,10,Roteador 02
Lab. de Instrumentação biomédica,84:f1:47:54:6b:82,1,-79,-74,10,Roteador 02
Lab. de Instrumentação biomédica,84:f1:47:54:8b:a0,11,-89,-79,9,Roteador 03
Lab. de Instrumentação biomédica,84:f1:47:54:8b:a2,11,-87,-78,9,Roteador 03
Lab. de Instrumentação biomédica,84:f1:47:54:96:e0,1,-75,-68,10,Roteador 04
Lab. de Instrumentação biomédica,84:f1:47:54:96:e2,1,-75,-68,10,Roteador 04
Lab. de Instrumentação biomédica,84:f1:47:54:f9:80,11,-90,-83,9,Roteador 06
Lab. de Instrumentação biomédica,84:f1:47:54:f9:82,11,-91,-83,9,Roteador 06
Lab. de Instrumentação biomédica,e4:4e:2d:85:4c:60,11,-90,-78,10,Roteador 07
Lab. de Instrumentação biomédica,e4:4e:2d:85:4c:62,11,-91,-78,10,Roteador 07
Lab. de Instrumentação biomédica,24:36:da:2b:bc:00,6,-88,-81,9,Roteador 12
Lab. de Instrumentação biomédica,24:36:da:2b:bc:02,6,-88,-81,10,Roteador 12
Lab. de aferição e calibração,84:f1:47:54:6b:80,1,-79,-71,10,Roteador 02
Lab. de aferição e calibração,84:f1:47:54:6b:82,1,-78,-71,10,Roteador 02
Lab. de aferição e calibração,84:f1:47:54:8b:a0,11,-92,-90,3,Roteador 03
Lab. de aferição e calibração,84:f1:47:54:8b:a2,11,-92,-89,3,Roteador 03
Lab. de aferição e calibração,84:f1:47:54:96:e0,1,-59,-53,10,Roteador 04
Lab. de aferição e calibração,84:f1:47:54:96:e2,1,-59,-54,10,Roteador 04
Lab. de aferição e calibração,e4:4e:2d:85:4c:60,11,-84,-75,10,Roteador 07
Lab. de aferição e calibração,e4:4e:2d:85:4c:62,11,-84,-75,10,Roteador 07
Lab. de aferição e calibração,24:36:da:2b:bc:00,6,-87,-77,10,Roteador 12
Lab. de aferição e calibração,24:36:da:2b:bc:02,6,-90,-77,10,Roteador 12
Lab. de aferição e calibração,24:36:da:9f:fb:82,11,-89,-89,1,Roteador 13 Roteador 25
Lab. de aferição e calibração,84:f1:47:54:97:00,1,-89,-89,1,Roteador 18
Lab. de aferição e calibração,84:f1:47:54:97:02,1,-89,-89,1,Roteador 18
Lab. de biologia,84:f1:47:54:6b:80,1,-72,-63,10,Roteador 02
Lab. de biologia,84:f1:47:54:6b:82,1,-72,-63,10,Roteador 02
Lab. de biologia,84:f1:47:54:8b:a0,11,-85,-73,9,Roteador 03
Lab. de biologia,84:f1:47:54:8b:a2,11,-86,-73,9,Roteador 03
Lab. de biologia,84:f1:47:54:96:e0,1,-89,-88,3,Roteador 04
Lab. de biologia,84:f1:47:54:96:e2,1,-88,-88,2,Roteador 04
Lab. de biologia,24:36:da:2b:bc:00,6,-74,-66,10,Roteador 12
Lab. de biologia,24:36:da:2b:bc:02,6,-74,-66,10,Roteador 12
Lab. de biologia,2c:57:41:d4:a5:20,6,-89,-86,2,Roteador 14
Lab. de biologia,2c:57:41:d4:a5:22,6,-90,-87,3,Roteador 14
Lab. de biologia,84:f1:47:54:81:00,11,-91,-83,8,Roteador 15
Lab. de biologia,84:f1:47:54:81:02,11,-90,-83,8,Roteador 15
Lab. de biologia,2c:57:41:cd:e1:c0,11,-91,-83,9,Roteador 19
Lab. de biologia,2c:57:41:cd:e1:c2,11,-92,-83,9,Roteador 19
Lab. de fibras ópticas,84:f1:47:54:6b:80,1,-87,-83,10,Roteador 02
Lab. de fibras ópticas,84:f1:47:54:6b:82,1,-87,-83,10,Roteador 02
Lab. de fibras ópticas,84:f1:47:54:8b:a0,11,-89,-88,2,Roteador 03
Lab. de fibras ópticas,84:f1:47:54:8b:a2,11,-90,-89,2,Roteador 03
Lab. de fibras ópticas,84:f1:47:54:96:e0,1,-78,-71,10,Roteador 04
Lab. de fibras ópticas,84:f1:47:54:96:e2,1,-78,-71,10,Roteador 04
Lab. de fibras ópticas,84:f1:47:54:eb:20,6,-88,-83,8,Roteador 05
Lab. de fibras ópticas,84:f1:47:54:eb:22,6,-88,-82,8,Roteador 05
Lab. de fibras ópticas,e4:4e:2d:85:4c:60,11,-64,-59,10,Roteador 07
Lab. de fibras ópticas,e4:4e:2d:85:4c:62,11,-64,-59,10,Roteador 07
Lab. de fibras ópticas,24:36:da:2b:bc:00,6,-87,-82,7,Roteador 12
Lab. de fibras ópticas,24:36:da:2b:bc:02,6,-86,-81,6,Roteador 12
Lab. de física,84:f1:47:54:6b:80,1,-72,-63,10,Roteador 02
Lab. de física,84:f1:47:54:6b:82,1,-73,-63,10,Roteador 02
Lab. de física,84:f1:47:54:8b:a0,11,-87,-77,9,Roteador 03
Lab. de física,84:f1:47:54:8b:a2,11,-87,-77,9,Roteador 03
Lab. de física,24:36:da:2b:bc:00,6,-75,-67,10,Roteador 12
Lab. de física,24:36:da:2b:bc:02,6,-73,-67,10,Roteador 12
Lab. de física,2c:57:41:d4:a5:20,6,-86,-78,8,Roteador 14
Lab. de física,2c:57:41:d4:a5:22,6,-87,-79,8,Roteador 14
Lab. de física,84:f1:47:54:81:00,11,-91,-84,9,Roteador 15
Lab. de física,84:f1:47:54:81:02,11,-91,-83,10,Roteador 15
Lab. de física,2c:57:41:cd:e1:c0,11,-89,-79,7,Roteador 19
Lab. de física,2c:57:41:cd:e1:c2,11,-91,-78,8,Roteador 19
Lab. de matemática,84:f1:47:54:6b:80,1,-75,-70,10,Roteador 02
Lab. de matemática,84:f1:47:54:6b:82,1,-74,-70,10,Roteador 02
Lab. de matemática,84:f1:47:54:8b:a0,11,-86,-81,7,Roteador 03
Lab. de matemática,84:f1:47:54:8b:a2,11,-87,-81,8,Roteador 03
Lab. de matemática,84:f1:47:54:f9:80,11,-93,-90,2,Roteador 06
Lab. de matemática,84:f1:47:54:f9:82,11,-92,-88,2,Roteador 06
Lab. de matemática,84:f1:47:54:fd:60,1,-89,-85,8,Roteador 10
Lab. de matemática,84:f1:47:54:fd:62,1,-91,-86,6,Roteador 10
Lab. de matemática,2c:57:41:d4:a5:20,6,-84,-74,10,Roteador 14
Lab. de matemática,2c:57:41:d4:a5:22,6,-83,-74,10,Roteador 14
Lab. de matemática,2c:57:41:cd:e1:c0,11,-89,-85,6,Roteador 19
Lab. de matemática,2c:57:41:cd:e1:c2,11,-89,-85,6,Roteador 19
Lab. de matemática,84:f1:47:54:7f:60,6,-88,-88,1,Roteador 20
Lab. de matemática,84:f1:47:54:7f:62,6,-88,-88,1,Roteador 20
Lab. de matemática,84:f1:47:54:80:60,11,-90,-83,6,Roteador 21
Lab. de matemática,84:f1:47:54:80:62,11,-90,-81,5,Roteador 21
Lab. de medidas em telecomunicações,24:36:da:2b:5e:c2,1,-89,-89,1,Roteador 01
Lab. de medidas em telecomunicações,84:f1:47:54:6b:80,1,-81,-75,10,Roteador 02
Lab. de medidas em telecomunicações,84:f1:47:54:6b:82,1,-81,-75,10,Roteador 02
Lab. de medidas em telecomunicações,84:f1:47:54:96:e0,1,-72,-62,10,Roteador 04
Lab. de medidas em telecomunicações,84:f1:47:54:96:e2,1,-72,-62,10,Roteador 04
Lab. de medidas em telecomunicações,e4:4e:2d:85:4c:60,11,-81,-73,10,Roteador 07
Lab. de medidas em telecomunicações,e4:4e:2d:85:4c:62,11,-82,-74,10,Roteador 07
Lab. de medidas em telecomunicações,24:36:da:2b:bc:00,6,-89,-74,10,Roteador 12
Lab. de medidas em telecomunicações,24:36:da:2b:bc:02,6,-88,-74,10,Roteador 12
Lab. de medidas em telecomunicações,84:f1:47:54:7f:60,6,-87,-87,1,Roteador 20
Lab. de medidas em telecomunicações,84:f1:47:54:7f:62,6,-89,-89,1,Roteador 20
Lab. de microscopia,84:f1:47:54:6b:80,1,-77,-70,10,Roteador 02
Lab. de microscopia,84:f1:47:54:6b:82,1,-77,-69,10,Roteador 02
Lab. de microscopia,84:f1:47:54:8b:a0,11,-84,-80,9,Roteador 03
Lab. de microscopia,84:f1:47:54:8b:a2,11,-84,-80,10,Roteador 03
Lab. de microscopia,84:f1:47:54:fd:60,1,-90,-85,7,Roteador 10
Lab. de microscopia,84:f1:47:54:fd:62,1,-90,-86,7,Roteador 10
Lab. de microscopia,2c:57:41:d4:a5:20,6,-85,-75,10,Roteador 14
Lab. de microscopia,2c:57:41:d4:a5:22,6,-85,-76,10,Roteador 14
Lab. de microscopia,2c:57:41:cd:e1:c0,11,-90,-86,4,Roteador 19
Lab. de microscopia,2c:57:41:cd:e1:c2,11,-91,-86,3,Roteador 19
Lab. de microscopia,84:f1:47:54:7f:60,6,-88,-88,1,Roteador 20
Lab. de microscopia,84:f1:47:54:7f:62,6,-88,-88,1,Roteador 20
Lab. de microscopia,84:f1:47:54:80:60,11,-91,-83,7,Roteador 21
Lab. de microscopia,84:f1:47:54:80:62,11,-89,-84,6,Roteador 21
Lab. de redes convergentes,84:f1:47:54:6b:80,1,-89,-84,9,Roteador 02
Lab. de redes convergentes,84:f1:47:54:6b:82,1,-89,-84,9,Roteador 02
Lab. de redes convergentes,84:f1:47:54:96:e0,1,-86,-79,10,Roteador 04
Lab. de redes convergentes,84:f1:47:54:96:e2,1,-86,-79,10,Roteador 04
Lab. de redes convergentes,84:f1:47:54:eb:20,6,-89,-86,5,Roteador 05
Lab. de redes convergentes,84:f1:47:54:eb:22,6,-90,-87,5,Roteador 05
Lab. de redes convergentes,e4:4e:2d:85:4c:60,11,-64,-56,10,Roteador 07
Lab. de redes convergentes,e4:4e:2d:85:4c:62,11,-64,-56,10,Roteador 07
Lab. de redes convergentes,24:36:da:2b:bc:00,6,-88,-82,10,Roteador 12
Lab. de redes convergentes,24:36:da:2b:bc:02,6,-88,-82,9,Roteador 12
Lab. de telecomunicações,84:f1:47:54:96:e0,1,-87,-82,8,Roteador 04
Lab. de telecomunicações,84:f1:47:54:96:e2,1,-89,-84,9,Roteador 04
Lab. de telecomunicações,e4:4e:2d:85:4c:60,11,-90,-88,5,Roteador 07
Lab. de telecomunicações,e4:4e:2d:85:4c:62,11,-90,-88,5,Roteador 07
Lab. de telecomunicações,2c:57:41:d4:69:c0,6,-89,-84,6,Roteador 08
Lab. de telecomunicações,2c:57:41:d4:69:c2,6,-89,-83,5,Roteador 08
Lab. de telecomunicações,84:f1:47:54:95:e0,11,-91,-87,3,Roteador 09
Lab. de telecomunicações,84:f1:47:54:95:e2,11,-90,-88,3,Roteador 09
Lab. de telecomunicações,84:f1:47:54:fd:c0,1,-79,-73,10,Roteador 10
Lab. de telecomunicações,84:f1:47:54:fd:c2,1,-79,-73,10,Roteador 10
Lab. de telecomunicações,84:f1:47:54:7f:20,11,-84,-75,10,Roteador 16
Lab. de telecomunicações,84:f1:47:54:7f:22,11,-84,-75,10,Roteador 16
Lab. de telecomunicações,b8:11:4b:1d:1e:40,6,-90,-89,3,Roteador 17
Lab. de telecomunicações,b8:11:4b:1d:1e:42,6,-89,-88,3,Roteador 17
Lab. de telecomunicações,84:f1:47:54:71:00,1,-90,-81,9,Roteador 22
Lab. de telecomunicações,84:f1:47:54:71:02,1,-87,-81,9,Roteador 22
Lab. química 01,84:f1:47:54:6b:80,1,-58,-48,10,Roteador 02
Lab. química 01,84:f1:47:54:6b:82,1,-58,-48,10,Roteador 02
Lab. química 01,84:f1:47:54:8b:a0,11,-88,-86,5,Roteador 03
Lab. química 01,84:f1:47:54:8b:a2,11,-89,-85,7,Roteador 03
Lab. química 01,24:36:da:2b:bc:00,6,-85,-79,10,Roteador 12
Lab. química 01,24:36:da:2b:bc:02,6,-85,-79,10,Roteador 12
Lab. química 01,2c:57:41:d4:a5:20,6,-88,-80,5,Roteador 14
Lab. química 01,2c:57:41:d4:a5:22,6,-89,-79,5,Roteador 14
Lab. química 01,84:f1:47:54:81:00,11,-91,-88,2,Roteador 15
Lab. química 01,84:f1:47:54:81:02,11,-90,-88,3,Roteador 15
Lab. química 01,2c:57:41:cd:e1:c0,11,-91,-76,10,Roteador 19
Lab. química 01,2c:57:41:cd:e1:c2,11,-88,-76,10,Roteador 19
Lab. química 01,84:f1:47:54:7f:60,6,-90,-82,8,Roteador 20
Lab. química 01,84:f1:47:54:7f:62,6,-89,-82,9,Roteador 20
Lab. química 01,24:36:da:a2:7f:40,6,-89,-87,2,Roteador 23
Lab. química 01,24:36:da:a2:7f:42,6,-88,-87,2,Roteador 23
Lab. química 01,b8:11:4b:1d:12:00,1,-91,-86,7,Roteador 24
Lab. química 01,b8:11:4b:1d:12:02,1,-88,-86,5,Roteador 24
Lab. química 02,84:f1:47:54:6b:80,1,-56,-50,10,Roteador 02
Lab. química 02,84:f1:47:54:6b:82,1,-56,-49,10,Roteador 02
Lab. química 02,84:f1:47:54:8b:a0,11,-88,-87,4,Roteador 03
Lab. química 02,84:f1:47:54:8b:a2,11,-90,-86,5,Roteador 03
Lab. química 02,84:f1:47:54:96:e2,1,-89,-89,1,Roteador 04
Lab. química 02,24:36:da:2b:bc:00,6,-82,-78,10,Roteador 12
