Local,Roteador,Canal,Minimo,Maximo,Quantidade,NumRoteador
Auditório de Eng. Elétrica,24:36:da:2b:5e:c0,1,-89,-87,5,Roteador 01
Auditório de Eng. Elétrica,24:36:da:2b:5e:c2,1,-88,-87,5,Roteador 01
Auditório de Eng. Elétrica,24:36:da:2b:bc:00,6,-90,-85,9,Roteador 02
Auditório de Eng. Elétrica,24:36:da:2b:bc:02,6,-91,-83,10,Roteador 02
Auditório de Eng. Elétrica,84:f1:47:54:6b:80,6,-82,-79,10,Roteador 03
Auditório de Eng. Elétrica,84:f1:47:54:6b:82,6,-83,-79,10,Roteador 03
Auditório de Eng. Elétrica,84:f1:47:54:8b:a0,1,-88,-78,10,Roteador 04
Auditório de Eng. Elétrica,84:f1:47:54:8b:a2,1,-88,-78,10,Roteador 04
Auditório de Eng. Elétrica,84:f1:47:54:95:e0,11,-91,-88,7,Roteador 05
Auditório de Eng. Elétrica,84:f1:47:54:95:e2,11,-90,-88,6,Roteador 05
Auditório de Eng. Elétrica,84:f1:47:54:96:e0,1,-87,-79,10,Roteador 06
Auditório de Eng. Elétrica,84:f1:47:54:96:e2,1,-87,-80,10,Roteador 06
Auditório de Eng. Elétrica,84:f1:47:54:eb:20,6,-90,-87,4,Roteador 07
Auditório de Eng. Elétrica,84:f1:47:54:eb:22,6,-90,-87,6,Roteador 07
Auditório de Eng. Elétrica,84:f1:47:54:f9:80,11,-79,-70,10,Roteador 08
Auditório de Eng. Elétrica,84:f1:47:54:f9:82,11,-79,-70,10,Roteador 08
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:60,11,-90,-90,1,Roteador 09
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:62,11,-90,-90,1,Roteador 09
Coordenação de Eng. Elétrica,24:36:da:2b:5e:c0,1,-90,-89,2,Roteador 01
Coordenação de Eng. Elétrica,24:36:da:2b:5e:c2,1,-90,-88,4,Roteador 01
Coordenação de Eng. Elétrica,84:f1:47:54:95:e0,11,-64,-56,10,Roteador 05
Coordenação de Eng. Elétrica,84:f1:47:54:95:e2,11,-64,-56,10,Roteador 05
Coordenação de Eng. Elétrica,84:f1:47:54:96:e0,1,-89,-89,3,Roteador 06
Coordenação de Eng. Elétrica,84:f1:47:54:96:e2,1,-89,-88,3,Roteador 06
Coordenação de Eng. Elétrica,84:f1:47:54:f9:80,11,-77,-75,10,Roteador 08
Coordenação de Eng. Elétrica,84:f1:47:54:f9:82,11,-77,-75,10,Roteador 08
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c0,1,-90,-82,7,Roteador 10
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c2,1,-92,-86,7,Roteador 10
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:80,6,-83,-79,10,Roteador 11
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:82,6,-81,-79,10,Roteador 11
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:00,6,-88,-82,10,Roteador 02
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:02,6,-87,-81,10,Roteador 02
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:20,6,-88,-86,3,Roteador 07
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:22,6,-90,-89,3,Roteador 07
Coordenação de pós em Eng. Elétrica,e4:4e:2d:85:4c:60,11,-79,-76,10,Roteador 09
Coordenação de pós em Eng. Elétrica,e4:4e:2d:85:4c:62,11,-80,-75,10,Roteador 09
Coordenação de pós em Eng. Elétrica,24:36:da:9f:fb:80,11,-89,-87,6,Roteador 12
Coordenação de pós em Eng. Elétrica,24:36:da:9f:fb:82,11,-89,-86,6,Roteador 12
Coordenação de química,24:36:da:2b:bc:00,6,-89,-89,2,Roteador 02
Coordenação de química,24:36:da:2b:bc:02,6,-88,-88,1,Roteador 02
Coordenação de química,84:f1:47:54:8b:a0,1,-80,-72,10,Roteador 04
Coordenação de química,84:f1:47:54:8b:a2,1,-80,-72,10,Roteador 04
Coordenação de química,84:f1:47:54:fd:60,1,-76,-69,10,Roteador 10
Coordenação de química,84:f1:47:54:fd:62,1,-76,-70,10,Roteador 10
Coordenação de química,2c:57:41:d4:a5:20,11,-91,-90,3,Roteador 13
Coordenação de química,2c:57:41:d4:a5:22,11,-91,-90,2,Roteador 13
Coordenação de química,84:f1:47:54:80:60,11,-89,-83,9,Roteador 14
Coordenação de química,84:f1:47:54:80:62,11,-88,-84,8,Roteador 14
Coordenação de química,84:f1:47:54:81:00,11,-91,-91,1,Roteador 15
Coordenação de química,84:f1:47:54:81:02,11,-92,-92,1,Roteador 15
Lab. Informática 09,84:f1:47:54:95:e0,11,-90,-90,1,Roteador 05
Lab. Informática 09,84:f1:47:54:96:e0,1,-87,-82,10,Roteador 06
Lab. Informática 09,84:f1:47:54:96:e2,1,-86,-81,10,Roteador 06
Lab. Informática 09,e4:4e:2d:85:4c:60,11,-80,-78,10,Roteador 09
Lab. Informática 09,e4:4e:2d:85:4c:62,11,-80,-77,10,Roteador 09
Lab. Informática 09,84:f1:47:54:fd:c0,1,-89,-84,10,Roteador 10
Lab. Informática 09,84:f1:47:54:fd:c2,1,-87,-84,10,Roteador 10
Lab. Informática 09,2c:57:41:d4:69:c0,1,-86,-82,10,Roteador 16
Lab. Informática 09,2c:57:41:d4:69:c2,1,-86,-83,10,Roteador 16
Lab. Informática 09,84:f1:47:54:7f:20,11,-66,-62,10,Roteador 17
Lab. Informática 09,84:f1:47:54:7f:22,11,-65,-62,10,Roteador 17
Lab. Informática 09,b8:11:4b:1d:1e:40,6,-89,-84,7,Roteador 18
Lab. Informática 09,b8:11:4b:1d:1e:42,6,-90,-83,8,Roteador 18
Lab. de Instrumentação biomédica,24:36:da:2b:5e:c0,1,-89,-86,6,Roteador 01
Lab. de Instrumentação biomédica,24:36:da:2b:5e:c2,1,-88,-87,3,Roteador 01
Lab. de Instrumentação biomédica,24:36:da:2b:bc:00,6,-80,-74,10,Roteador 02
Lab. de Instrumentação biomédica,24:36:da:2b:bc:02,6,-80,-74,10,Roteador 02
Lab. de Instrumentação biomédica,84:f1:47:54:6b:80,6,-83,-77,10,Roteador 03
Lab. de Instrumentação biomédica,84:f1:47:54:6b:82,6,-83,-78,10,Roteador 03
Lab. de Instrumentação biomédica,84:f1:47:54:8b:a0,1,-85,-80,10,Roteador 04
Lab. de Instrumentação biomédica,84:f1:47:54:8b:a2,1,-84,-79,10,Roteador 04
Lab. de Instrumentação biomédica,84:f1:47:54:96:e0,1,-71,-67,10,Roteador 06
Lab. de Instrumentação biomédica,84:f1:47:54:96:e2,1,-71,-67,10,Roteador 06
Lab. de Instrumentação biomédica,84:f1:47:54:f9:80,11,-85,-79,10,Roteador 08
Lab. de Instrumentação biomédica,84:f1:47:54:f9:82,11,-85,-79,10,Roteador 08
Lab. de Instrumentação biomédica,e4:4e:2d:85:4c:60,11,-78,-75,10,Roteador 09
Lab. de Instrumentação biomédica,e4:4e:2d:85:4c:62,11,-78,-75,10,Roteador 09
Lab. de aferição e calibração,24:36:da:2b:5e:c0,1,-90,-86,7,Roteador 01
