data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:32:49,1,IFPB,84:F1:47:54:7F:20,-66,11,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,84:F1:47:54:7F:22,-66,11,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-82,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,B8:11:4B:1D:1E:40,-83,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,84:F1:47:54:96:E0,-85,1,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,E4:4E:2D:85:4C:60,-85,11,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB,84:F1:47:54:FD:C0,-86,1,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,6,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB,2C:57:41:D4:69:C0,-88,6,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB-VISITANTE,84:F1:47:54:7F:22,-60,11,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB,84:F1:47:54:7F:20,-61,11,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,84:F1:47:54:FD:C0,-83,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:FD:C2,-83,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,84:F1:47:54:96:E0,-85,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,2C:57:41:D4:69:C0,-85,6,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:F9:82,-89,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:7F:22,-60,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:7F:20,-61,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:FD:C0,-86,1,Lab. Informática 09
