data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:96:e0,-70,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:96:e2,-70,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,e4:4e:2d:85:4c:60,-73,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-73,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,24:36:da:2b:bc:00,-79,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,24:36:da:2b:bc:02,-79,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:6b:82,-85,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:6b:80,-86,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:f9:82,-86,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:8b:a0,-88,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:8b:a2,-89,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB,84:f1:47:54:96:e0,-71,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB-VISITANTE,84:f1:47:54:96:e2,-71,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB,e4:4e:2d:85:4c:60,-74,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-74,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB,24:36:da:2b:bc:00,-80,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB-VISITANTE,24:36:da:2b:bc:02,-80,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB-VISITANTE,84:f1:47:54:f9:82,-89,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB-VISITANTE,84:f1:47:54:8b:a2,-91,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB,84:f1:47:54:8b:a0,-91,11,Lab. de medições em telecomunicações,Cow,1
