data,hora,num,ambiente,ssid,bssid,rssi,canal
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-63,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-79,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-79,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-82,1
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-83,1
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-83,6
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-84,6
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:95:E0,-90,11
22/04/2026,07:24:42,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
22/04/2026,07:24:42,2,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-63,11
22/04/2026,07:24:42,2,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-77,11
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-78,11
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-81,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-82,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-83,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-83,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
22/04/2026,07:24:43,2,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-87,6
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-65,11
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-66,11
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-80,11
