data,hora,num,ssid,bssid,rssi,canal,ambiente
24/10/2025,7:35:17,1,IFPB,84:f1:47:54:7f:20,-57,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,84:f1:47:54:7f:22,-57,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB,e4:4e:2d:85:4c:60,-85,1,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-85,1,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,2c:57:41:d4:69:c2,-86,11,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,84:f1:47:54:96:e2,-89,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB,84:f1:47:54:7f:20,-58,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB-VISITANTE,84:f1:47:54:7f:22,-58,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB,b8:11:4b:1d:1e:40,-86,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,1,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB,e4:4e:2d:85:4c:60,-89,1,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB-VISITANTE,2c:57:41:d4:69:c2,-92,11,Lab. Informática 09
24/10/2025,7:35:35,3,IFPB,84:f1:47:54:7f:20,-57,6,Lab. Informática 09
24/10/2025,7:35:35,3,IFPB-VISITANTE,84:f1:47:54:7f:22,-57,6,Lab. Informática 09
24/10/2025,7:35:35,3,IFPB,b8:11:4b:1d:1e:40,-83,6,Lab. Informática 09
24/10/2025,7:35:35,3,IFPB,e4:4e:2d:85:4c:60,-90,1,Lab. Informática 09
24/10/2025,7:35:35,3,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-90,1,Lab. Informática 09
24/10/2025,7:35:44,4,IFPB,84:f1:47:54:7f:20,-58,6,Lab. Informática 09
24/10/2025,7:35:44,4,IFPB-VISITANTE,84:f1:47:54:7f:22,-58,6,Lab. Informática 09
24/10/2025,7:35:44,4,IFPB,b8:11:4b:1d:1e:40,-83,6,Lab. Informática 09
24/10/2025,7:35:44,4,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-84,6,Lab. Informática 09
24/10/2025,7:35:44,4,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-88,1,Lab. Informática 09
24/10/2025,7:35:53,5,IFPB,84:f1:47:54:7f:20,-59,6,Lab. Informática 09
24/10/2025,7:35:53,5,IFPB-VISITANTE,84:f1:47:54:7f:22,-59,6,Lab. Informática 09
24/10/2025,7:35:53,5,IFPB,b8:11:4b:1d:1e:40,-84,6,Lab. Informática 09
24/10/2025,7:35:53,5,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-88,1,Lab. Informática 09
24/10/2025,7:35:53,5,IFPB,e4:4e:2d:85:4c:60,-88,1,Lab. Informática 09
24/10/2025,7:37:30,6,IFPB,84:f1:47:54:7f:20,-68,6,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB-VISITANTE,84:f1:47:54:7f:22,-70,6,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB,84:f1:47:54:96:e0,-82,6,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB,84:f1:47:54:fd:c0,-83,1,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB-VISITANTE,84:f1:47:54:fd:c2,-83,1,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB-VISITANTE,84:f1:47:54:96:e2,-83,6,Sala dos técnicos
24/10/2025,7:37:30,6,IFPB,e4:4e:2d:85:4c:60,-85,1,Sala dos técnicos
