data,hora,num,local,ssid,bssid,rssi,canal
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-67,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-68,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-83,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-83,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-85,1
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,1
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-87,6
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-88,6
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-89,1
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB,2c:57:41:d4:69:c0,-89,1
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-64,11
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-65,11
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-74,6
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-75,6
27/04/2026,14:49:43,2,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-81,11
27/04/2026,14:49:43,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-82,1
27/04/2026,14:49:43,2,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-82,11
27/04/2026,14:49:43,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,1
27/04/2026,14:49:43,2,Lab. Informática 09,IFPB,2c:57:41:d4:69:c0,-88,1
27/04/2026,14:49:52,3,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-60,11
27/04/2026,14:49:52,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-60,11
27/04/2026,14:49:52,3,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-75,6
27/04/2026,14:49:52,3,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-76,6
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-80,11
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-81,11
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-82,1
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-86,1
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-87,1
27/04/2026,14:49:53,3,Lab. Informática 09,IFPB,2c:57:41:d4:69:c0,-88,1
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-63,11
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-63,11
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-79,6
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-79,6
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-81,11
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-81,11
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-82,1
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-82,1
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB,2c:57:41:d4:69:c0,-87,1
27/04/2026,14:50:03,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:71:02,-88,1
