data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:32:49,1,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,2,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB TCC,D8:5D:4C:86:7E:66,-65,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,84:F1:47:54:7F:20,-66,11,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,84:F1:47:54:7F:22,-66,11,Lab. Informática 09
17/03/2026,10:32:49,1,APTelefonia,58:10:8C:91:F3:AA,-67,1,Lab. Informática 09
17/03/2026,10:32:49,1,Intelbras,18:0D:2C:7F:EB:AC,-70,7,Lab. Informática 09
17/03/2026,10:32:49,1,TP-Link_1324,7C:F1:7E:8D:13:22,-77,10,Lab. Informática 09
17/03/2026,10:32:49,1,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-80,3,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-80,5,Lab. Informática 09
17/03/2026,10:32:49,1,motorola one hyper_9136,6A:A5:88:F9:66:CE,-81,1,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-82,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,B8:11:4B:1D:1E:40,-83,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,84:F1:47:54:96:E0,-85,1,Lab. Informática 09
17/03/2026,10:32:49,1,GPDS,00:26:5A:66:55:EF,-85,6,Lab. Informática 09
17/03/2026,10:32:49,1,IFPB,E4:4E:2D:85:4C:60,-85,11,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB,84:F1:47:54:FD:C0,-86,1,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1,Lab. Informática 09
17/03/2026,10:32:50,1,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-86,11,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-Sala_13,E8:94:F6:B9:2F:46,-88,4,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,6,Lab. Informática 09
17/03/2026,10:32:50,1,IFPB,2C:57:41:D4:69:C0,-88,6,Lab. Informática 09
17/03/2026,10:32:50,1,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-90,6,Lab. Informática 09
17/03/2026,10:32:50,1,UA2-MiniLab,60:32:B1:2D:66:C3,-90,10,Lab. Informática 09
17/03/2026,10:32:50,1,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-90,10,Lab. Informática 09
17/03/2026,10:32:50,1,LIMPEZA,54:E6:FC:CF:22:DE,-91,6,Lab. Informática 09
17/03/2026,10:32:50,1,Lab Redes Convergentes,64:70:02:99:FE:F4,-94,11,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB-VISITANTE,84:F1:47:54:7F:22,-60,11,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB,84:F1:47:54:7F:20,-61,11,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB TCC,D8:5D:4C:86:7E:66,-63,6,Lab. Informática 09
17/03/2026,10:32:59,2,APTelefonia,58:10:8C:91:F3:AA,-64,1,Lab. Informática 09
17/03/2026,10:32:59,2,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-67,2,Lab. Informática 09
17/03/2026,10:33:00,2,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-74,3,Lab. Informática 09
17/03/2026,10:33:00,2,Intelbras,18:0D:2C:7F:EB:AC,-75,7,Lab. Informática 09
17/03/2026,10:33:00,2,TP-Link_1324,7C:F1:7E:8D:13:22,-75,10,Lab. Informática 09
17/03/2026,10:33:00,2,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-77,11,Lab. Informática 09
17/03/2026,10:33:00,2,GPDS,00:26:5A:66:55:EF,-80,6,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-81,5,Lab. Informática 09
17/03/2026,10:33:00,2,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-82,10,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,84:F1:47:54:FD:C0,-83,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:FD:C2,-83,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-Sala_13,E8:94:F6:B9:2F:46,-83,4,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,84:F1:47:54:96:E0,-85,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB,2C:57:41:D4:69:C0,-85,6,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:33:00,2,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-88,6,Lab. Informática 09
17/03/2026,10:33:00,2,UA2-MiniLab,60:32:B1:2D:66:C3,-89,10,Lab. Informática 09
17/03/2026,10:33:00,2,IFPB-VISITANTE,84:F1:47:54:F9:82,-89,11,Lab. Informática 09
17/03/2026,10:33:00,2,LIMPEZA,54:E6:FC:CF:22:DE,-94,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB TCC,D8:5D:4C:86:7E:66,-60,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:7F:22,-60,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:7F:20,-61,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-65,2,Lab. Informática 09
17/03/2026,10:33:10,3,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-71,3,Lab. Informática 09
17/03/2026,10:33:10,3,Intelbras,18:0D:2C:7F:EB:AC,-74,7,Lab. Informática 09
17/03/2026,10:33:10,3,APTelefonia,58:10:8C:91:F3:AA,-76,1,Lab. Informática 09
17/03/2026,10:33:10,3,GPDS,00:26:5A:66:55:EF,-77,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-79,5,Lab. Informática 09
17/03/2026,10:33:10,3,TP-Link_1324,7C:F1:7E:8D:13:22,-81,10,Lab. Informática 09
17/03/2026,10:33:10,3,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-84,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:FD:C0,-86,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,B8:11:4B:1D:1E:40,-86,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:96:E0,-87,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,Lab. Informática 09
17/03/2026,10:33:10,3,motorola one hyper_9136,6A:A5:88:F9:66:CE,-88,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-Sala_13,E8:94:F6:B9:2F:46,-88,4,Lab. Informática 09
