data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:48:48,1,TP-Link_1324,7c:f1:7e:8d:13:22,-51,3,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,APTelefonia,58:10:8c:91:f3:aa,-56,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,Intelbras,18:0d:2c:7f:eb:ac,-67,7,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:96:e0,-70,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:96:e2,-70,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,e4:4e:2d:85:4c:60,-73,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-73,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-74,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,24:36:da:2b:bc:00,-79,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,24:36:da:2b:bc:02,-79,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:6b:82,-85,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,GPDS,00:26:5a:66:55:ef,-85,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB TCC,d8:5d:4c:86:7e:66,-86,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:6b:80,-86,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:f9:82,-86,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB,84:f1:47:54:8b:a0,-88,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,LIMPEZA,54:e6:fc:cf:22:de,-89,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-VISITANTE,84:f1:47:54:8b:a2,-89,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,NPEF/NEPA,50:c7:bf:ef:56:8a,-90,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,UA2-MiniLab,60:32:b1:2d:66:c3,-90,10,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-92,10,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:48,1,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-93,2,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,TP-Link_1324,7c:f1:7e:8d:13:22,-57,3,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,APTelefonia,58:10:8c:91:f3:aa,-58,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:48:57,2,IFPB,84:f1:47:54:96:e0,-71,1,Lab. de medições em telecomunicações,Cow,1
