data,hora,num,ambiente,ssid,bssid,rssi,canal
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-62,5
22/04/2026,07:24:32,1,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-62,7
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-63,11
22/04/2026,07:24:32,1,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-66,10
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-67,1
22/04/2026,07:24:32,1,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-67,1
22/04/2026,07:24:32,1,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-72,4
22/04/2026,07:24:32,1,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-77,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-79,11
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-79,11
22/04/2026,07:24:32,1,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-80,6
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-82,1
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-83,1
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-83,6
22/04/2026,07:24:32,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-84,6
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
22/04/2026,07:24:33,1,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-88,10
22/04/2026,07:24:33,1,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-89,9
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-90,6
22/04/2026,07:24:33,1,Lab. Informática 09,IFPB,84:F1:47:54:95:E0,-90,11
