data,hora,num,local,ssid,bssid,rssi,canal
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-52,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-53,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-59,1
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-60,5
24/04/2026,07:01:57,1,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-67,1
24/04/2026,07:01:57,1,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-70,7
24/04/2026,07:01:57,1,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-75,11
24/04/2026,07:01:57,1,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-76,4
24/04/2026,07:01:57,1,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-77,10
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-78,6
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:01:57,1,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-84,9
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-86,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-87,1
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
24/04/2026,07:01:58,1,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-88,6
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-89,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-89,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1
24/04/2026,07:01:58,1,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:FE:F4,-90,1
24/04/2026,07:01:58,1,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-90,6
24/04/2026,07:01:58,1,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-90,10
24/04/2026,07:01:58,1,Lab. Informática 09,SALA_MESTRADO,64:66:B3:62:EB:86,-92,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-93,6
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-46,11
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-46,11
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-63,1
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,5
24/04/2026,07:02:07,2,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-68,1
24/04/2026,07:02:07,2,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-71,7
24/04/2026,07:02:07,2,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-73,4
24/04/2026,07:02:07,2,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-73,10
24/04/2026,07:02:07,2,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-73,11
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-79,6
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-81,8
24/04/2026,07:02:08,2,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-83,9
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-84,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
24/04/2026,07:02:08,2,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-86,6
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-87,11
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-90,6
24/04/2026,07:02:08,2,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:FE:F4,-91,1
24/04/2026,07:02:08,2,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-91,10
24/04/2026,07:02:08,2,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-92,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-44,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-44,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-62,5
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-65,1
24/04/2026,07:02:18,3,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-68,7
24/04/2026,07:02:18,3,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-71,1
24/04/2026,07:02:18,3,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-71,10
24/04/2026,07:02:18,3,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-72,4
24/04/2026,07:02:18,3,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-73,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-77,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-79,8
24/04/2026,07:02:18,3,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-81,9
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-86,11
24/04/2026,07:02:18,3,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-87,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
24/04/2026,07:02:18,3,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:FE:F4,-91,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-91,6
24/04/2026,07:02:18,3,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-91,6
24/04/2026,07:02:18,3,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-93,10
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-45,11
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-59,5
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-60,1
24/04/2026,07:02:28,4,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-66,7
24/04/2026,07:02:28,4,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-70,1
24/04/2026,07:02:28,4,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-70,10
24/04/2026,07:02:28,4,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-74,11
24/04/2026,07:02:28,4,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-76,4
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-79,6
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-80,8
24/04/2026,07:02:28,4,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-84,9
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-85,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,1
24/04/2026,07:02:28,4,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-86,6
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-87,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:02:28,4,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-90,10
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-92,6
24/04/2026,07:02:28,4,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-92,6
24/04/2026,07:02:28,4,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:FE:F4,-93,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-46,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-57,5
