data,hora,num,ssid,bssid,rssi,canal,ambiente
24/10/2025,7:35:17,1,IFPB,84:f1:47:54:7f:20,-57,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,84:f1:47:54:7f:22,-57,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB TCC,d8:5d:4c:86:7e:66,-63,1,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-63,2,Lab. Informática 09
24/10/2025,7:35:17,1,APTelefonia,58:10:8c:91:f3:aa,-66,1,Lab. Informática 09
24/10/2025,7:35:17,1,Asterisk Server,18:0d:2c:7f:f5:9c,-72,11,Lab. Informática 09
24/10/2025,7:35:17,1,TP-Link_1324,7c:f1:7e:8d:13:22,-73,4,Lab. Informática 09
24/10/2025,7:35:17,1,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-77,3,Lab. Informática 09
24/10/2025,7:35:17,1,Intelbras,18:0d:2c:7f:eb:ac,-77,11,Lab. Informática 09
24/10/2025,7:35:17,1,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-79,11,Lab. Informática 09
24/10/2025,7:35:17,1,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-84,4,Lab. Informática 09
24/10/2025,7:35:17,1,GPDS,00:26:5a:66:55:ef,-84,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB,e4:4e:2d:85:4c:60,-85,1,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-85,1,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,2c:57:41:d4:69:c2,-86,11,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-88,2,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-VISITANTE,84:f1:47:54:96:e2,-89,6,Lab. Informática 09
24/10/2025,7:35:17,1,IFPB-Sala_13,e8:94:f6:b9:2f:46,-89,10,Lab. Informática 09
24/10/2025,7:35:17,1,Lab Redes Convergentes,64:70:02:99:fe:f4,-90,6,Lab. Informática 09
24/10/2025,7:35:17,1,UA2-MiniLab,60:32:b1:2d:66:c3,-90,6,Lab. Informática 09
24/10/2025,7:35:17,1,LIMPEZA,54:e6:fc:cf:22:de,-91,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB,84:f1:47:54:7f:20,-58,6,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB-VISITANTE,84:f1:47:54:7f:22,-58,6,Lab. Informática 09
24/10/2025,7:35:26,2,APTelefonia,58:10:8c:91:f3:aa,-61,1,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB TCC,d8:5d:4c:86:7e:66,-64,1,Lab. Informática 09
24/10/2025,7:35:26,2,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-68,2,Lab. Informática 09
24/10/2025,7:35:26,2,Intelbras,18:0d:2c:7f:eb:ac,-76,11,Lab. Informática 09
24/10/2025,7:35:26,2,TP-Link_1324,7c:f1:7e:8d:13:22,-77,4,Lab. Informática 09
24/10/2025,7:35:26,2,Asterisk Server,18:0d:2c:7f:f5:9c,-77,11,Lab. Informática 09
24/10/2025,7:35:26,2,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-80,11,Lab. Informática 09
24/10/2025,7:35:26,2,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-82,3,Lab. Informática 09
24/10/2025,7:35:26,2,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-84,4,Lab. Informática 09
