data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-66,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-66,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-86,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-87,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-88,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-88,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,b8:11:4b:1d:14:80,-88,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:f9:80,-89,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:f9:82,-89,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-72,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-72,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-85,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-86,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-87,6
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-88,6
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-88,6
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:f9:80,-90,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:f9:82,-90,11
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-70,11
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-70,11
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,6
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-85,6
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-85,11
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-86,6
08/05/2026,07:04:35,3,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-86,11
08/05/2026,07:04:36,3,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-89,6
08/05/2026,07:04:36,3,Lab. Informática 09,IFPB,84:f1:47:54:f9:80,-91,11
08/05/2026,07:04:36,3,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:f9:82,-92,11
08/05/2026,07:04:45,4,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-65,11
08/05/2026,07:04:45,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-65,11
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-84,6
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-84,6
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-87,1
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-88,1
08/05/2026,07:04:46,4,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-88,6
