data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:04:15,1,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-60,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-63,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-63,5
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-66,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-66,11
08/05/2026,07:04:15,1,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-68,10
08/05/2026,07:04:15,1,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-75,4
08/05/2026,07:04:15,1,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-76,7
08/05/2026,07:04:15,1,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-80,11
08/05/2026,07:04:15,1,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-83,9
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-86,2
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-86,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-Sala_13,e8:94:f6:b9:2f:46,-86,6
08/05/2026,07:04:15,1,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-86,10
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-87,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-87,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-88,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-88,1
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,b8:11:4b:1d:14:80,-88,6
08/05/2026,07:04:15,1,Lab. Informática 09,PeterNetwork,1e:1d:49:86:2d:8e,-88,11
08/05/2026,07:04:15,1,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-89,6
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB,84:f1:47:54:f9:80,-89,11
08/05/2026,07:04:15,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:f9:82,-89,11
08/05/2026,07:04:15,1,Lab. Informática 09,SALA_MESTRADO,64:66:b3:62:eb:86,-90,1
08/05/2026,07:04:15,1,Lab. Informática 09,LIMPEZA,54:e6:fc:cf:22:de,-90,6
08/05/2026,07:04:15,1,Lab. Informática 09,Kauan,5e:df:7d:dd:ee:05,-91,1
08/05/2026,07:04:15,1,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:fe:f4,-92,6
08/05/2026,07:04:15,1,Lab. Informática 09,A mesma de sempre,fe:64:3a:96:ea:fc,-96,5
08/05/2026,07:04:25,2,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-58,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-59,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-59,5
08/05/2026,07:04:25,2,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-70,10
08/05/2026,07:04:25,2,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-72,7
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-72,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-72,11
08/05/2026,07:04:25,2,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-77,4
08/05/2026,07:04:25,2,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-79,11
08/05/2026,07:04:25,2,Lab. Informática 09,PeterNetwork,1e:1d:49:86:2d:8e,-81,11
08/05/2026,07:04:25,2,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-82,9
08/05/2026,07:04:25,2,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-84,10
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-85,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-86,1
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-87,6
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-88,2
08/05/2026,07:04:25,2,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-88,6
