data,hora,num,ambiente,XGB05,XGB10,RF05,RF10
1,08/05/2026,07:04:15,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
2,08/05/2026,07:04:26,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
3,08/05/2026,07:04:36,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
4,08/05/2026,07:04:46,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
5,08/05/2026,07:04:56,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
6,08/05/2026,07:05:06,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
7,08/05/2026,07:05:16,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
8,08/05/2026,07:05:26,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
9,08/05/2026,07:05:37,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
10,08/05/2026,07:05:47,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
11,08/05/2026,07:06:15,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
12,08/05/2026,07:06:25,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
13,08/05/2026,07:06:35,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
14,08/05/2026,07:06:45,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
15,08/05/2026,07:06:56,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
16,08/05/2026,07:07:15,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
17,08/05/2026,07:07:25,Lab. de Telecomunicações,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
18,08/05/2026,07:07:35,Lab. de Telecomunicações,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
19,08/05/2026,07:07:46,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
20,08/05/2026,07:07:56,Lab. de Telecomunicações,Lab. de Telecomunicações,Lab. Informática 09,Lab. de Telecomunicações,Lab. de redes convergentes
21,08/05/2026,07:08:27,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,PET Eng. Elétrica,Lab. de redes convergentes
22,08/05/2026,07:08:37,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
23,08/05/2026,07:08:47,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
24,08/05/2026,07:08:58,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
25,08/05/2026,07:09:08,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,PET Eng. Elétrica,Lab. de redes convergentes
26,08/05/2026,07:09:18,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
27,08/05/2026,07:09:28,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
28,08/05/2026,07:09:39,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
29,08/05/2026,07:09:49,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
30,08/05/2026,07:09:59,PET Eng. Elétrica,PET Eng. Elétrica,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de redes convergentes
31,08/05/2026,07:10:26,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
32,08/05/2026,07:10:37,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
33,08/05/2026,07:10:47,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
34,08/05/2026,07:10:57,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
35,08/05/2026,07:11:07,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
36,08/05/2026,07:11:17,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
37,08/05/2026,07:11:28,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
38,08/05/2026,07:11:38,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
39,08/05/2026,07:11:48,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
40,08/05/2026,07:11:58,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
41,08/05/2026,07:12:51,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
42,08/05/2026,07:13:02,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
43,08/05/2026,07:13:12,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
44,08/05/2026,07:13:22,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
45,08/05/2026,07:13:32,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
46,08/05/2026,07:13:42,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
47,08/05/2026,07:13:52,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
48,08/05/2026,07:14:03,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
49,08/05/2026,07:14:13,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
50,08/05/2026,07:14:23,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
51,08/05/2026,07:14:49,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração
52,08/05/2026,07:15:00,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Lab. de Medição e Calibração
53,08/05/2026,07:15:10,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
54,08/05/2026,07:15:20,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Lab. de Instrumentação biomédica
55,08/05/2026,07:15:30,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica
56,08/05/2026,07:15:41,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração
57,08/05/2026,07:15:51,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
58,08/05/2026,07:16:01,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
59,08/05/2026,07:16:11,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Lab. de Instrumentação biomédica
60,08/05/2026,07:16:21,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica,Lab. de Medição e Calibração
61,08/05/2026,07:16:50,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração
