data,hora,num,local,ssid,bssid,rssi,canal
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-53,1
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-57,5
27/04/2026,14:49:32,1,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-61,1
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-67,11
27/04/2026,14:49:32,1,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-68,10
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-68,11
27/04/2026,14:49:32,1,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-69,4
27/04/2026,14:49:32,1,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-76,7
27/04/2026,14:49:32,1,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-79,9
27/04/2026,14:49:32,1,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-79,11
27/04/2026,14:49:32,1,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-81,6
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-82,8
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-83,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-83,11
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-85,1
27/04/2026,14:49:32,1,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,1
27/04/2026,14:49:33,1,Lab. Informática 09,Matheus,4e:30:53:97:57:bb,-85,11
27/04/2026,14:49:33,1,Lab. Informática 09,SALA_MESTRADO,64:66:b3:62:eb:86,-87,1
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-87,6
27/04/2026,14:49:33,1,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-87,10
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-88,6
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-89,1
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB,2c:57:41:d4:69:c0,-89,1
27/04/2026,14:49:33,1,Lab. Informática 09,IFPB-Sala_13,e8:94:f6:b9:2f:46,-91,6
27/04/2026,14:49:33,1,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:fe:f4,-93,1
27/04/2026,14:49:33,1,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09,Lab. Informática 09
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-52,1
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-63,5
27/04/2026,14:49:42,2,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-64,1
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-64,11
27/04/2026,14:49:42,2,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-65,10
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-65,11
27/04/2026,14:49:42,2,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-69,7
27/04/2026,14:49:42,2,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-74,6
