data,hora,num,local,ssid,bssid,rssi,canal
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-53,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-59,5
27/03/2026,17:06:45,1,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-62,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-63,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-64,11
27/03/2026,17:06:45,1,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-69,7
27/03/2026,17:06:45,1,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-69,10
27/03/2026,17:06:45,1,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-80,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-81,5
27/03/2026,17:06:45,1,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-82,3
27/03/2026,17:06:45,1,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-82,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11
27/03/2026,17:06:45,1,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-83,10
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-83,11
27/03/2026,17:06:45,1,Lab. Informática 09,DispACR,1E:D6:C7:F9:37:2F,-83,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:06:45,1,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-84,10
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-86,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-86,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
27/03/2026,17:06:45,1,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:FE:F4,-89,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-90,4
27/03/2026,17:06:45,1,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-91,6
27/03/2026,17:06:46,1,Lab. Informática 09,Sala dos técnicos,Lab. Informática 09,Lab. Informática 09,0
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-52,6
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-57,5
27/03/2026,17:06:55,2,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-60,1
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-63,11
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-63,11
27/03/2026,17:06:55,2,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-68,7
