data,hora,num,local,predição
27/03/2026,12:33:56,1,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:33:56,1,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:33:56,1,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:06,2,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:34:06,2,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:06,2,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:15,3,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:15,3,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:34:16,3,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:25,4,Lab. Informática 09,Coordenação de pós em Eng. Elétrica
27/03/2026,12:34:25,4,Lab. Informática 09,Coordenação de pós em Eng. Elétrica
27/03/2026,12:34:25,4,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:35,5,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:34:35,5,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:34:35,5,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:45,6,Lab. Informática 09,Coordenação de pós em Eng. Elétrica
27/03/2026,12:34:45,6,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:45,6,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:55,7,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:34:55,7,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:34:55,7,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:05,8,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:05,8,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:05,8,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:14,9,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:35:14,9,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:15,9,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:24,10,Lab. Informática 09,Sala dos técnicos
27/03/2026,12:35:24,10,Lab. Informática 09,Coordenação de pós em Eng. Elétrica
27/03/2026,12:35:24,10,Lab. Informática 09,Lab. Informática 09
27/03/2026,12:35:47,11,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:35:47,11,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:35:47,11,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:35:57,12,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:35:57,12,Sala dos técnicos,Pesquisa em Eng. Elétrica
27/03/2026,12:35:57,12,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:36:07,13,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:36:07,13,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:36:07,13,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:36:17,14,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:36:17,14,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:17,14,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:36:26,15,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:27,15,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:27,15,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:36,16,Sala dos técnicos,Lab. de telecomunicações
27/03/2026,12:36:36,16,Sala dos técnicos,Pesquisa em Eng. Elétrica
27/03/2026,12:36:36,16,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:36:46,17,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:46,17,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:46,17,Sala dos técnicos,Sala dos técnicos
27/03/2026,12:36:56,18,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:36:56,18,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:36:56,18,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:06,19,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:06,19,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
27/03/2026,12:37:06,19,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:16,20,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:16,20,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:16,20,Sala dos técnicos,PET Eng. Elétrica
27/03/2026,12:37:44,21,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:37:44,21,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:37:44,21,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:37:54,22,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:37:54,22,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:37:54,22,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:04,23,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:04,23,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:04,23,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:14,24,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:14,24,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:14,24,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:24,25,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:24,25,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:24,25,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:33,26,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:34,26,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:34,26,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:43,27,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:38:43,27,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:43,27,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:53,28,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:53,28,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:38:53,28,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:39:03,29,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:39:03,29,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:39:03,29,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:39:13,30,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:39:13,30,Lab. de telecomunicações,Sala dos técnicos
27/03/2026,12:39:13,30,Lab. de telecomunicações,Lab. de telecomunicações
27/03/2026,12:40:12,31,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:12,31,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:12,31,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:22,32,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:22,32,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:22,32,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:32,33,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:32,33,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:32,33,PET Eng. Elétrica,Coordenação de Eng. Elétrica
27/03/2026,12:40:42,34,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:42,34,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:42,34,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:52,35,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:52,35,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:40:52,35,PET Eng. Elétrica,PET Eng. Elétrica
27/03/2026,12:41:01,36,PET Eng. Elétrica,PET Eng. Elétrica
