data,hora,num,local,predição
19/03/2026,07:23:27,1,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:23:37,2,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:23:46,3,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:23:56,4,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:05,5,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:15,6,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:25,7,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:34,8,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:44,9,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:24:53,10,Lab. Informática 09,Lab. Informática 09
19/03/2026,07:25:22,11,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
19/03/2026,07:25:32,12,Sala dos técnicos,Coordenação de pós em Eng. Elétrica
19/03/2026,07:25:41,13,Sala dos técnicos,Sala dos técnicos
19/03/2026,07:25:51,14,Sala dos técnicos,Lab. de telecomunicações
19/03/2026,07:26:01,15,Sala dos técnicos,Sala dos técnicos
19/03/2026,07:26:10,16,Sala dos técnicos,Sala dos técnicos
19/03/2026,07:26:20,17,Sala dos técnicos,Sala dos técnicos
19/03/2026,07:26:29,18,Sala dos técnicos,Lab. de telecomunicações
19/03/2026,07:26:39,19,Sala dos técnicos,Lab. de telecomunicações
19/03/2026,07:26:49,20,Sala dos técnicos,Lab. de telecomunicações
19/03/2026,07:27:25,21,Lab. de telecomunicações,Sala dos técnicos
19/03/2026,07:27:35,22,Lab. de telecomunicações,Sala dos técnicos
19/03/2026,07:27:44,23,Lab. de telecomunicações,Lab. de telecomunicações
19/03/2026,07:27:54,24,Lab. de telecomunicações,Lab. de telecomunicações
19/03/2026,07:28:04,25,Lab. de telecomunicações,Sala dos técnicos
19/03/2026,07:28:13,26,Lab. de telecomunicações,Lab. de telecomunicações
19/03/2026,07:28:23,27,Lab. de telecomunicações,Sala dos técnicos
19/03/2026,07:28:33,28,Lab. de telecomunicações,Lab. Informática 09
19/03/2026,07:28:42,29,Lab. de telecomunicações,Coordenação de pós em Eng. Elétrica
19/03/2026,07:28:52,30,Lab. de telecomunicações,Coordenação de Eng. Elétrica
19/03/2026,07:29:13,31,PET Eng. Elétrica ,Coordenação de pós em Eng. Elétrica
19/03/2026,07:29:23,32,PET Eng. Elétrica ,Coordenação de pós em Eng. Elétrica
19/03/2026,07:29:32,33,PET Eng. Elétrica ,PET Eng. Elétrica 
19/03/2026,07:29:42,34,PET Eng. Elétrica ,Coordenação de Eng. Elétrica
19/03/2026,07:29:52,35,PET Eng. Elétrica ,Coordenação de pós em Eng. Elétrica
19/03/2026,07:30:01,36,PET Eng. Elétrica ,Coordenação de pós em Eng. Elétrica
19/03/2026,07:30:11,37,PET Eng. Elétrica ,Coordenação de pós em Eng. Elétrica
19/03/2026,07:30:20,38,PET Eng. Elétrica ,Coordenação de Eng. Elétrica
19/03/2026,07:30:30,39,PET Eng. Elétrica ,Coordenação de Eng. Elétrica
19/03/2026,07:30:40,40,PET Eng. Elétrica ,Auditório de Eng. Elétrica
19/03/2026,07:31:18,41,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:31:27,42,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:31:37,43,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:31:46,44,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:31:56,45,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:32:06,46,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:32:15,47,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:32:25,48,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:32:35,49,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:32:44,50,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
19/03/2026,07:33:36,51,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:33:45,52,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:33:55,53,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:05,54,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:14,55,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:24,56,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:34,57,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:43,58,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:34:53,59,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:35:03,60,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
19/03/2026,07:35:46,61,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:35:56,62,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:06,63,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:15,64,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:25,65,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:35,66,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:44,67,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:36:54,68,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:37:03,69,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:37:13,70,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
19/03/2026,07:37:54,71,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:04,72,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:13,73,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:23,74,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:32,75,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:42,76,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:38:52,77,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:39:01,78,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:39:11,79,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:39:21,80,Lab. de aferição e calibração,Lab. de aferição e calibração
19/03/2026,07:39:54,81,Lab. de medições em telecomunicações,Lab. de aferição e calibração
19/03/2026,07:40:04,82,Lab. de medições em telecomunicações,Lab. de medições em telecomunicações
19/03/2026,07:40:14,83,Lab. de medições em telecomunicações,Lab. de aferição e calibração
19/03/2026,07:40:23,84,Lab. de medições em telecomunicações,Lab. de aferição e calibração
19/03/2026,07:40:33,85,Lab. de medições em telecomunicações,Lab. de aferição e calibração
19/03/2026,07:40:43,86,Lab. de medições em telecomunicações,Lab. de medições em telecomunicações
